date_time,processed,elapsed_time
"11/20/2022, 22:00:13",11,3.58
"11/20/2022, 23:59:57",11,0.64
"11/21/2022, 00:00:41",11,0.61
"11/21/2022, 00:03:35",11,0.72
"11/21/2022, 00:12:32",11,0.72
"11/21/2022, 00:13:03",11,0.58
"11/21/2022, 00:16:23",11,1.14
"11/21/2022, 00:45:44",11,1.23
"11/21/2022, 01:00:45",11,0.91
"11/21/2022, 01:32:39",11,0.74
"11/21/2022, 01:33:30",11,0.68
"11/21/2022, 01:37:57",11,0.76
"11/21/2022, 12:43:56",8,1.09
"11/21/2022, 12:57:23",4,0.53
"11/21/2022, 13:21:32",999,36.88
"11/21/2022, 15:29:18",99,7.70
"11/21/2022, 15:40:27",99,9.95
"11/21/2022, 16:11:52",9,1.04
"11/21/2022, 23:04:45",9,1.09
"11/21/2022, 23:07:06",9,0.68
"11/21/2022, 23:12:56",19862,"1,631.75"
"11/29/2022, 15:32:06",99,9.99
"12/12/2022, 21:32:48",651,57.12
"12/12/2022, 21:36:14",651,34.17
"12/12/2022, 21:40:08",359,19.16
"12/12/2022, 21:40:45",292,14.61
"12/12/2022, 21:43:22",359,18.74
"12/12/2022, 21:46:16",359,18.75
"12/12/2022, 21:50:53",651,53.04
"12/12/2022, 21:55:48",9,0.59
"12/12/2022, 21:56:56",651,41.21
"12/12/2022, 22:00:23",1000,81.21
"12/12/2022, 21:38:48",651,71.23
"12/12/2022, 21:49:54",651,46.18
